Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000139180,NDUFA9,33,-1.0007,122,1.08271,59,-0.1544,16,-2.1154,87,0.50607,76,0.31985,74,0.24061,37,-0.8439
ENSG00000111262,KCNA1,0,-9.1608,33,-1.3348,73,-0.1628,36,-1.2192,144,0.98133,136,1.04852,44,-0.9156,123,0.70269
ENSG00000110799,VWF,21,-2.0700,19,-2.2051,54,-0.7018,35,-1.2848,12,-2.8577,10,-3.2115,108,0.45590,491,3.75628
ENSG00000010278,CD9,1222,4.26570,17,-3.5302,86,-1.2256,63,-1.5899,48,-2.0034,40,-2.4100,66,-1.5232,121,-0.6080
ENSG00000215039,CD27-AS1,66,0.53474,64,0.47509,32,-0.6648,43,-0.1647,60,0.37399,55,0.26795,31,-0.6490,37,-0.3980
ENSG00000111639,MRPL51,113,0.45324,40,-1.1607,86,0.00336,136,0.76631,61,-0.5238,79,-0.1347,60,-0.5601,115,0.47779
ENSG00000111640,GAPDH,1327,-0.5570,3370,0.96567,1392,-0.5332,1894,0.00368,1571,-0.2930,2404,0.44879,1369,-0.5081,1775,-0.1001
ENSG00000010295,IFFO1,32,-0.0247,35,0.08570,16,-1.1445,1,-5.1408,31,-0.0743,60,1.18444,27,-0.2801,49,0.66416
ENSG00000111642,CHD4,147,0.29894,79,-0.6770,104,-0.2840,41,-1.6572,132,0.12580,181,0.75179,110,-0.1628,141,0.23613
ENSG00000111653,ING4,57,1.14409,35,0.30633,23,-0.3560,36,0.35261,41,0.56827,13,-1.2852,22,-0.4157,24,-0.2953
ENSG00000139200,PIANP,8,-5.2202,218,-0.3777,251,-0.1788,262,-0.0918,522,1.05821,366,0.52084,264,-0.0810,266,-0.0655
ENSG00000111652,COPS7A,44,-0.7157,134,1.09002,49,-0.5940,69,-0.0115,55,-0.3821,71,0.02511,94,0.48700,61,-0.2057
ENSG00000089693,MLF2,169,-0.9594,360,0.22282,254,-0.3669,516,0.82536,333,0.09710,297,-0.0968,355,0.19800,300,-0.0729
ENSG00000159335,PTMS,72,-2.2691,329,0.02952,288,-0.2035,298,-0.1251,287,-0.1889,454,0.64348,491,0.69108,268,-0.2955
ENSG00000250510,GPR162,2,-4.8706,211,1.73522,55,-0.5951,129,0.83647,73,-0.0894,78,0.00720,40,-1.0372,56,-0.5199
ENSG00000111667,USP5,82,-0.6201,258,1.26999,77,-0.7858,103,-0.2657,125,0.03652,143,0.29558,91,-0.4626,120,-0.0273
ENSG00000111669,TPI1,287,-1.3194,1190,0.94803,539,-0.3939,840,0.35843,749,0.17087,661,-0.0336,745,0.16210,527,-0.3877
ENSG00000111674,ENO2,185,-2.3308,1487,0.91206,669,-0.4391,968,0.19099,1154,0.48003,989,0.25787,715,-0.2918,771,-0.1733
ENSG00000111676,ATN1,112,0.01155,47,-1.3323,81,-0.5372,200,0.98185,124,0.18197,114,0.05387,95,-0.2376,140,0.37578
ENSG00000111678,C12orf57,217,0.45097,212,0.41366,112,-0.6623,215,0.43531,83,-1.0540,151,-0.1537,218,0.45738,174,0.08651
