p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.201794344338465,0.425,0.62,0,1,TESC
0,-2.3628511824292318,0.737,0.542,0,1,APLNR
0,-0.7874824690158104,0.373,0.568,0,1,ARHGAP6
0,-0.3475857146865696,0.409,0.603,0,1,COL16A1
0,-0.45459654989912934,0.328,0.522,0,1,ZBBX
0,-0.1902198989451798,0.412,0.606,0,1,RSPH1
0,-3.501195248423026,0.723,0.529,0,1,SLC17A7
0,-0.32271999117665395,0.372,0.564,0,1,ERLIN2
0,-0.6078269072039905,0.348,0.539,0,1,NRP2
0,-0.20749007587016866,0.384,0.573,0,1,FOSB
0,-0.6199190396141105,0.35,0.537,0,1,MYL9
0,-0.4752537804895302,0.374,0.56,0,1,TFRC
0,-0.6612840371862133,0.368,0.553,0,1,MRAP2
0,-0.11355608616422108,0.397,0.582,0,1,UBXN11
0,-0.46070663119921185,0.373,0.557,0,1,IER2
0,-0.8345633813778376,0.58,0.763,0,1,ATP2B4
0,-0.912972387063049,0.365,0.548,0,1,B3GAT2
0,-0.4135446146771212,0.342,0.525,0,1,NR2F1
0,-0.4872278004721614,0.382,0.565,0,1,MIDN
0,-0.7179576341341771,0.418,0.6,0,1,MPDZ
0,-0.49785364924360087,0.4,0.581,0,1,HNRNPF
0,-0.45512325467662507,0.353,0.532,0,1,IQCG
0,-0.5455391105960112,0.488,0.667,0,1,NRSN1
0,-0.13628159847981003,0.432,0.611,0,1,S100A10
0,-0.612938595896853,0.378,0.556,0,1,GABBR2
0,-0.7445887723198863,0.493,0.67,0,1,CHGA
0,-0.1661955143901538,0.391,0.564,0,1,ASS1
0,-0.4152826900705314,0.389,0.56,0,1,SSPN
0,-0.1411542607573605,0.394,0.564,0,1,DCN
0,-0.32743396114829526,0.394,0.564,0,1,AATF
0,-0.3745219993650184,0.389,0.555,0,1,SPACA9
0,-0.4146831590903848,0.373,0.539,0,1,RFX2
0,-0.3601375463510411,0.428,0.592,0,1,PPP1R15A
0,-0.3352861700238827,0.43,0.594,0,1,PLXNB2
0,-0.3220405185623689,0.378,0.541,0,1,LRTOMT
0,-0.5826749074050759,0.373,0.535,0,1,CRB1
0,-1.3472757253874459,0.35,0.512,0,1,CLSTN2
0,-0.23884703335966018,0.387,0.549,0,1,CCN2
0,-0.5646151007520015,0.375,0.537,0,1,CSRP2
0,-0.8928028790369357,0.402,0.564,0,1,CHD5
0,-0.36942672351291783,0.385,0.546,0,1,FSTL1
0,-0.34327336885213877,0.393,0.554,0,1,SERPING1
0,-0.5408758848526938,0.384,0.545,0,1,LRRC23
0,-0.7466794156769312,0.375,0.536,0,1,CRIP1
0,-1.1867896853965028,0.363,0.523,0,1,ACTA2
0,-1.1134424803923086,0.402,0.561,0,1,PNMA5
0,-0.6171258650703177,0.372,0.526,0,1,CFAP43
0,-0.7685617034363803,0.371,0.524,0,1,DNAAF1
0,-0.868077555965391,0.371,0.519,0,1,EFCAB1
0,-2.549157798244491,0.662,0.514,0,1,NGFR
0,-0.650789954555002,0.388,0.533,0,1,KIF9
0,-0.6769008303362583,0.379,0.521,0,1,WDR78
0,-1.5824242862527296,0.607,0.738,0,1,BAIAP3
0,-1.1415510516757148,0.795,0.896,0,1,VSNL1
0,0.2971546084673746,0.898,0.831,0,1,LPL
0,0.40948543435572926,0.842,0.781,0,1,RASD2
0,0.12876139933083186,0.949,0.899,0,1,ANO3
