p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.15569944354891208,0.856,0.835,0,1,GPR88
0,0.11084428520271405,0.995,0.976,0,1,NRGN
0,0.1598706910910117,0.811,0.8,0,1,KCNAB1
0,0.2912730710492135,0.767,0.769,0,1,ADORA2A
0,0.36936372028435094,0.746,0.746,0,1,PDE10A
3.37314778515306e-304,0.19938540684425787,0.429,0.624,6.6687131712476e-301,1,DRD2
4.460801300521189e-300,0.12674708948179558,0.422,0.615,8.819004171130391e-297,1,PRKCH
1.151901492687965e-294,0.12788110207686199,0.788,0.792,2.2773092510441065e-291,1,DGKB
3.9240598139533444e-284,0.257431019449075,0.407,0.556,7.757866252185761e-281,1,ARC
1.1749367093519326e-243,0.3067841157831038,0.435,0.612,2.3228498743887707e-240,1,TESC
2.452551747994488e-226,0.22142263766677156,0.442,0.625,4.848694805785102e-223,1,RGS9
1.6960210302391356e-225,0.3137462618046541,0.436,0.617,3.353033576782771e-222,1,RIC8B
1.4363523889362612e-201,0.15250339552101877,0.45,0.597,2.8396686729269886e-198,1,RESP18
2.0189200957418985e-199,0.14704497506014647,0.447,0.573,3.9914050292817333e-196,1,DUSP2
2.3481861675739326e-197,0.3112444320015012,0.442,0.608,4.6423640532936646e-194,1,DAB2IP
7.837494186695605e-185,0.49960599817250484,0.433,0.603,1.5494726007097213e-181,1,ENTPD3
2.7146503200179576e-182,0.5154895970080731,0.657,0.694,5.366863682675502e-179,1,CA12
1.7690603769635304e-161,0.31458248720975723,0.457,0.625,3.4974323652568994e-158,1,RASGRP2
7.851781173401137e-153,0.2285137858870771,0.465,0.63,1.5522971379814049e-149,1,B3GLCT
2.894297436672816e-107,0.20789920844324472,0.478,0.639,5.722026032302157e-104,1,LRRTM1
2.5597047153011274e-106,0.22884718472931143,0.672,0.724,5.060536222150329e-103,1,KCTD17
1.2730410358548994e-98,0.27805845379244143,0.484,0.631,2.516802127885136e-95,1,ITPKA
7.835358514546807e-94,0.4412057280380889,0.472,0.619,1.5490503783259036e-90,1,SPEF1
2.0435488199136336e-91,0.1607960263246393,0.683,0.732,4.040096016969254e-88,1,PLCB1
4.973999867353055e-85,0.24681745074887096,0.483,0.632,9.83359773775699e-82,1,KCTD1
1.6818577947361049e-84,0.10897251104757566,0.5,0.644,3.3250328601932796e-81,1,HAGHL
5.389973340790368e-82,0.24481798367581487,0.494,0.642,1.0655977294742556e-78,1,GUCY1A2
1.9534543944545874e-74,0.40177495002982677,0.474,0.614,3.861979337836719e-71,1,CNR1
2.1769255339646995e-72,0.10005396330701166,0.485,0.574,4.3037817806482106e-69,1,COL5A3
7.430584865593981e-66,0.1598185614554144,0.476,0.604,1.46902662792793e-62,1,RPH3A
3.386983003658244e-58,0.19983020126674256,0.503,0.64,6.696065398232348e-55,1,GRASP
1.4170238618563887e-52,0.10950280674489044,0.651,0.695,2.8014561748900806e-49,1,SLC24A2
5.222573184925148e-46,0.36995046674712745,0.49,0.61,1.0325027186597018e-42,1,RGS4
3.2518201957569843e-41,0.15681154724896162,0.525,0.664,6.428848527011558e-38,1,CIT
2.528216136687962e-36,0.1086223828505477,0.536,0.674,4.9982833022321004e-33,1,PDZD2
4.342555291290497e-35,0.29467771915588137,0.606,0.672,8.585231810881312e-32,1,CAMKK2
3.772427464606318e-28,0.11613856318335647,0.531,0.664,7.458089097526691e-25,1,RASGRP1
7.522204463921341e-28,0.13656273933038643,0.541,0.675,1.4871398225172491e-24,1,RGS8
3.253658946794132e-25,0.11973295423349262,0.507,0.542,6.432483737811999e-22,1,CCL4L2
7.465330285411237e-25,0.13144983200384064,0.538,0.664,1.4758957974258016e-21,1,IVNS1ABP
2.0054317682386595e-9,0.11584973837529411,0.574,0.699,3.96473860580783e-6,1,GPR6
1.2324513415386653e-8,0.15261786376927367,0.576,0.682,2.4365563022219414e-5,1,RGS2
2.180154559169485e-6,0.2692350729224775,0.582,0.672,0.004310165563478072,1,MCTP1
0.0027414438756989436,0.1588828430877065,0.604,0.686,1,1,AL020994.2
0,0.10497300702985579,0.844,0.491,0,2,COL25A1
0,0.19733334630795257,0.835,0.485,0,2,HS6ST3
0,0.20340477612155272,0.835,0.499,0,2,TRMT9B
0,0.1187356806667503,0.816,0.484,0,2,NOS1
0,0.1554197061903666,0.872,0.551,0,2,KIRREL3
0,0.17374718980280004,0.826,0.51,0,2,GFRA1
0,0.22706744119672367,0.795,0.48,0,2,STUM
0,0.14918715851259778,0.876,0.567,0,2,DAB2IP
